ClientID,Segment,Industry,Country,Financed Amount,CO2 (tons),Energy Consumption (MWh),Water Usage (thousand m3),Water Stress,Flood Risk,Drought Risk,Report_Date
134,Small Corporate,"Agriculture, Forestry and Fishing",Latvia,191793.0,509.0,1815.0,4896.0,0.28,0.55,0.64,03/2023
135,Medium Corporate,Manufacturing ,Lithuania,440188.0,1860.0,8633.0,24508.0,0.43,0.32,0.74,03/2023
136,Medium Corporate,Manufacturing ,Estonia,217552.0,1824.0,7687.0,14462.0,0.51,0.66,0.26,03/2023
137,Large Corporate,Financial and Insurance Activities,Latvia,1086739.0,455.0,4365.0,1381.0,0.45,0.57,0.37,03/2023
138,Medium Corporate,Financial and Insurance Activities,Lithuania,402152.0,107.0,1013.0,882.0,0.56,0.45,0.52,03/2023
139,Small Corporate,Transportation and Storage,Latvia,86011.0,929.0,1592.0,1683.0,0.28,0.68,0.5,03/2023
140,Large Corporate,Financial and Insurance Activities,Lithuania,1978244.0,373.0,3178.0,1884.0,0.68,0.47,0.67,03/2023
141,Medium Corporate,"Agriculture, Forestry and Fishing",Latvia,442816.0,1100.0,2036.0,14442.0,0.3,0.48,0.42,03/2023
142,Medium Corporate,Financial and Insurance Activities,Latvia,270783.0,213.0,1985.0,736.0,0.23,0.59,0.62,03/2023
143,Small Corporate,Manufacturing ,Estonia,178331.0,563.0,547.0,4420.0,0.41,0.64,0.45,03/2023
144,Large Corporate,Construction ,Lithuania,1119922.0,6841.0,15794.0,16354.0,0.52,0.33,0.7,03/2023
145,Medium Corporate,Construction ,Estonia,251955.0,2629.0,3999.0,8879.0,0.47,0.73,0.47,03/2023
146,Small Corporate,Financial and Insurance Activities,Lithuania,113682.0,71.0,647.0,272.0,0.8,0.36,0.44,03/2023
147,Medium Corporate,Construction ,Latvia,426464.0,1741.0,2686.0,10064.0,0.5,0.66,0.37,03/2023
148,Small Corporate,Transportation and Storage,Lithuania,135170.0,402.0,1197.0,1662.0,0.48,0.49,0.43,03/2023
149,Medium Corporate,"Agriculture, Forestry and Fishing",Lithuania,472375.0,1019.0,5986.0,16195.0,0.78,0.37,0.72,03/2023
150,Large Corporate,Manufacturing ,Estonia,1655994.0,7965.0,38229.0,65375.0,0.53,0.66,0.47,03/2023
151,Medium Corporate,Financial and Insurance Activities,Estonia,301679.0,104.0,910.0,515.0,0.4,0.65,0.27,03/2023
152,Large Corporate,Construction ,Latvia,973546.0,4262.0,15166.0,28951.0,0.35,0.6,0.35,03/2023
153,Medium Corporate,Construction ,Estonia,361285.0,2906.0,7844.0,4752.0,0.5,0.73,0.38,03/2023
154,Small Corporate,"Agriculture, Forestry and Fishing",Estonia,111371.0,224.0,430.0,2595.0,0.4,0.73,0.41,03/2023
155,Small Corporate,Construction ,Estonia,19391.0,381.0,1755.0,3323.0,0.38,0.71,0.5,03/2023
156,Small Corporate,Transportation and Storage,Estonia,179376.0,411.0,1905.0,1896.0,0.54,0.67,0.21,03/2023
157,Large Corporate,"Agriculture, Forestry and Fishing",Lithuania,595541.0,3235.0,14121.0,48671.0,0.59,0.47,0.67,03/2023
158,Small Corporate,Manufacturing ,Estonia,95344.0,345.0,2599.0,8969.0,0.49,0.73,0.43,03/2023
159,Medium Corporate,"Agriculture, Forestry and Fishing",Lithuania,333343.0,1377.0,4297.0,17894.0,0.5,0.46,0.57,03/2023
160,Medium Corporate,"Agriculture, Forestry and Fishing",Estonia,368294.0,1123.0,4708.0,14185.0,0.43,0.7,0.45,03/2023
161,Medium Corporate,Manufacturing ,Latvia,327318.0,3912.0,9069.0,17656.0,0.49,0.5,0.42,03/2023
162,Small Corporate,Transportation and Storage,Estonia,53451.0,372.0,2234.0,1861.0,0.49,0.79,0.21,03/2023
163,Large Corporate,Transportation and Storage,Latvia,1850769.0,7860.0,11684.0,11597.0,0.35,0.62,0.42,03/2023
164,Small Corporate,Construction ,Lithuania,104824.0,220.0,994.0,3495.0,0.7,0.31,0.41,03/2023
165,Medium Corporate,Transportation and Storage,Latvia,381953.0,2190.0,7235.0,4568.0,0.42,0.7,0.62,03/2023
166,Large Corporate,Manufacturing ,Estonia,1806565.0,16296.0,26829.0,33046.0,0.39,0.61,0.24,03/2023
167,Medium Corporate,"Agriculture, Forestry and Fishing",Lithuania,284563.0,933.0,5463.0,13322.0,0.78,0.36,0.44,03/2023
168,Small Corporate,Construction ,Lithuania,182705.0,729.0,1830.0,3705.0,0.6,0.34,0.59,03/2023
169,Medium Corporate,Construction ,Latvia,221619.0,1906.0,2817.0,5925.0,0.36,0.53,0.64,03/2023
170,Large Corporate,Construction ,Estonia,1526836.0,7675.0,11772.0,24890.0,0.37,0.59,0.3,03/2023
171,Medium Corporate,Transportation and Storage,Lithuania,472557.0,1063.0,8014.0,2332.0,0.65,0.48,0.65,03/2023
172,Medium Corporate,Construction ,Latvia,266399.0,854.0,4015.0,5337.0,0.31,0.68,0.56,03/2023
173,Medium Corporate,Construction ,Estonia,429475.0,1715.0,3843.0,10918.0,0.36,0.74,0.21,03/2023
174,Large Corporate,Transportation and Storage,Latvia,601835.0,13592.0,24497.0,10056.0,0.26,0.62,0.55,03/2023
175,Medium Corporate,Construction ,Estonia,234694.0,1457.0,3077.0,4964.0,0.6,0.76,0.39,03/2023
176,Large Corporate,Transportation and Storage,Estonia,1219896.0,12995.0,15056.0,9484.0,0.47,0.79,0.45,03/2023
177,Small Corporate,Financial and Insurance Activities,Estonia,101620.0,23.0,679.0,387.0,0.39,0.66,0.38,03/2023
178,Large Corporate,Manufacturing ,Lithuania,1005170.0,5835.0,20708.0,41448.0,0.5,0.35,0.62,03/2023
179,Large Corporate,"Agriculture, Forestry and Fishing",Estonia,1702777.0,3719.0,7266.0,43801.0,0.38,0.78,0.46,03/2023
180,Small Corporate,Financial and Insurance Activities,Lithuania,126383.0,20.0,325.0,499.0,0.55,0.41,0.61,03/2023
181,Small Corporate,Transportation and Storage,Latvia,97883.0,484.0,2873.0,886.0,0.41,0.67,0.52,03/2023
182,Large Corporate,Construction ,Lithuania,1923373.0,6426.0,11868.0,28746.0,0.52,0.43,0.73,03/2023
183,Large Corporate,Manufacturing ,Estonia,1790013.0,7765.0,15819.0,49679.0,0.37,0.68,0.34,03/2023
184,Medium Corporate,Financial and Insurance Activities,Latvia,489938.0,285.0,1987.0,687.0,0.47,0.5,0.41,03/2023
185,Small Corporate,Financial and Insurance Activities,Lithuania,190030.0,27.0,240.0,139.0,0.56,0.44,0.63,03/2023
186,Large Corporate,Financial and Insurance Activities,Lithuania,1003909.0,649.0,4417.0,2903.0,0.45,0.34,0.64,03/2023
187,Large Corporate,"Agriculture, Forestry and Fishing",Latvia,905119.0,2784.0,7417.0,30395.0,0.49,0.7,0.46,03/2023
188,Small Corporate,Construction ,Lithuania,72535.0,199.0,1516.0,2773.0,0.77,0.35,0.59,03/2023
189,Medium Corporate,Transportation and Storage,Lithuania,212401.0,3178.0,6657.0,4296.0,0.67,0.34,0.4,03/2023
190,Medium Corporate,Transportation and Storage,Lithuania,469689.0,1517.0,3888.0,4040.0,0.42,0.5,0.69,03/2023
191,Large Corporate,Manufacturing ,Lithuania,706317.0,12130.0,39633.0,31102.0,0.46,0.37,0.56,03/2023
192,Small Corporate,Financial and Insurance Activities,Lithuania,165586.0,86.0,609.0,280.0,0.7,0.33,0.41,03/2023
193,Medium Corporate,Manufacturing ,Estonia,257846.0,2710.0,8112.0,20091.0,0.53,0.64,0.38,03/2023
194,Large Corporate,"Agriculture, Forestry and Fishing",Estonia,1414085.0,4279.0,14414.0,39041.0,0.39,0.56,0.21,03/2023
195,Small Corporate,Transportation and Storage,Latvia,185985.0,576.0,1887.0,1256.0,0.2,0.49,0.49,03/2023
196,Medium Corporate,Construction ,Lithuania,348053.0,2575.0,6117.0,10166.0,0.43,0.38,0.52,03/2023
197,Medium Corporate,Financial and Insurance Activities,Estonia,490587.0,168.0,800.0,925.0,0.5,0.73,0.39,03/2023
198,Medium Corporate,"Agriculture, Forestry and Fishing",Latvia,260660.0,1670.0,4121.0,9947.0,0.35,0.58,0.64,03/2023
199,Large Corporate,Construction ,Latvia,1965451.0,8603.0,13458.0,26600.0,0.3,0.52,0.35,03/2023
200,Large Corporate,Construction ,Estonia,1907864.0,7867.0,17692.0,23329.0,0.41,0.58,0.31,03/2023
201,Small Corporate,Construction ,Lithuania,10374.0,442.0,2197.0,1755.0,0.59,0.36,0.7,03/2023
202,Large Corporate,Construction ,Latvia,787390.0,4090.0,16717.0,12426.0,0.26,0.48,0.59,03/2023
203,Small Corporate,"Agriculture, Forestry and Fishing",Estonia,41322.0,254.0,1138.0,4688.0,0.37,0.77,0.24,03/2023
204,Medium Corporate,"Agriculture, Forestry and Fishing",Lithuania,327050.0,607.0,4292.0,16108.0,0.46,0.47,0.6,03/2023
205,Small Corporate,Transportation and Storage,Latvia,169647.0,416.0,1635.0,1363.0,0.28,0.66,0.49,03/2023
206,Large Corporate,Financial and Insurance Activities,Lithuania,765336.0,733.0,4116.0,2334.0,0.56,0.32,0.45,03/2023
207,Large Corporate,Construction ,Latvia,1652636.0,7488.0,16169.0,25590.0,0.42,0.49,0.48,03/2023
208,Medium Corporate,Transportation and Storage,Latvia,315658.0,3302.0,6299.0,3990.0,0.35,0.68,0.53,03/2023
209,Small Corporate,"Agriculture, Forestry and Fishing",Latvia,156133.0,123.0,454.0,1943.0,0.48,0.42,0.64,03/2023
210,Small Corporate,Financial and Insurance Activities,Estonia,156483.0,90.0,240.0,467.0,0.5,0.8,0.23,03/2023
211,Medium Corporate,"Agriculture, Forestry and Fishing",Lithuania,496500.0,857.0,5507.0,16610.0,0.59,0.34,0.56,03/2023
212,Large Corporate,Construction ,Latvia,1561442.0,5214.0,17353.0,26671.0,0.25,0.64,0.61,03/2023
213,Small Corporate,Manufacturing ,Estonia,26629.0,108.0,1453.0,9198.0,0.56,0.59,0.5,03/2023
214,Medium Corporate,Construction ,Estonia,365726.0,2043.0,4735.0,9095.0,0.35,0.64,0.3,03/2023
215,Small Corporate,"Agriculture, Forestry and Fishing",Estonia,196549.0,111.0,529.0,4261.0,0.43,0.77,0.38,03/2023
216,Small Corporate,Transportation and Storage,Latvia,168454.0,638.0,2378.0,1246.0,0.41,0.5,0.33,03/2023
217,Medium Corporate,Manufacturing ,Latvia,358832.0,2899.0,9525.0,20382.0,0.21,0.57,0.58,03/2023
218,Large Corporate,Construction ,Latvia,803126.0,4157.0,16326.0,27251.0,0.3,0.69,0.41,03/2023
219,Small Corporate,Manufacturing ,Estonia,154511.0,661.0,2697.0,4124.0,0.55,0.76,0.4,03/2023
220,Small Corporate,Manufacturing ,Latvia,166641.0,909.0,2536.0,3042.0,0.32,0.45,0.41,03/2023
221,Large Corporate,Manufacturing ,Estonia,532898.0,15574.0,11675.0,48296.0,0.47,0.66,0.21,03/2023
222,Small Corporate,"Agriculture, Forestry and Fishing",Latvia,18043.0,425.0,475.0,4444.0,0.4,0.54,0.62,03/2023
223,Large Corporate,Financial and Insurance Activities,Estonia,1195312.0,842.0,3503.0,1248.0,0.4,0.55,0.44,03/2023
224,Large Corporate,Financial and Insurance Activities,Lithuania,537861.0,949.0,5538.0,2601.0,0.62,0.48,0.57,03/2023
225,Small Corporate,Transportation and Storage,Latvia,76160.0,586.0,1031.0,1872.0,0.5,0.5,0.56,03/2023
226,Small Corporate,Manufacturing ,Lithuania,19560.0,341.0,2994.0,5086.0,0.72,0.35,0.45,03/2023
227,Large Corporate,Construction ,Estonia,1359211.0,9757.0,12287.0,15662.0,0.41,0.79,0.27,03/2023
228,Medium Corporate,Financial and Insurance Activities,Estonia,399747.0,193.0,1359.0,664.0,0.41,0.62,0.21,03/2023
229,Small Corporate,Transportation and Storage,Latvia,59882.0,905.0,2971.0,1434.0,0.26,0.43,0.38,03/2023
230,Small Corporate,Financial and Insurance Activities,Lithuania,25355.0,42.0,668.0,221.0,0.67,0.49,0.74,03/2023
231,Small Corporate,Transportation and Storage,Lithuania,12091.0,686.0,2260.0,832.0,0.4,0.41,0.71,03/2023
232,Large Corporate,Financial and Insurance Activities,Lithuania,1094166.0,500.0,5952.0,1569.0,0.6,0.44,0.61,03/2023
233,Medium Corporate,Financial and Insurance Activities,Estonia,400521.0,277.0,1395.0,769.0,0.58,0.7,0.33,03/2023
234,Small Corporate,Financial and Insurance Activities,Latvia,4433.0,70.0,689.0,337.0,0.42,0.6,0.54,03/2023
235,Small Corporate,Construction ,Estonia,36108.0,677.0,2416.0,3428.0,0.54,0.56,0.25,03/2023
236,Medium Corporate,Manufacturing ,Lithuania,370901.0,2332.0,4571.0,23633.0,0.51,0.49,0.55,03/2023
237,Small Corporate,Construction ,Lithuania,159580.0,630.0,1769.0,1688.0,0.72,0.3,0.72,03/2023
238,Medium Corporate,Financial and Insurance Activities,Latvia,400994.0,219.0,1673.0,840.0,0.43,0.47,0.34,03/2023
239,Large Corporate,Manufacturing ,Estonia,1174548.0,12282.0,16189.0,77478.0,0.58,0.64,0.48,03/2023
240,Large Corporate,Construction ,Estonia,1319864.0,8248.0,16076.0,14203.0,0.49,0.65,0.27,03/2023
241,Medium Corporate,Transportation and Storage,Latvia,485511.0,3038.0,9852.0,2020.0,0.35,0.55,0.56,03/2023
242,Large Corporate,Manufacturing ,Estonia,515360.0,10422.0,34885.0,54211.0,0.42,0.68,0.48,03/2023
243,Small Corporate,Manufacturing ,Latvia,173966.0,761.0,726.0,9171.0,0.5,0.53,0.49,03/2023
244,Large Corporate,Transportation and Storage,Estonia,1233238.0,13349.0,29133.0,11759.0,0.41,0.66,0.36,03/2023
245,Large Corporate,Manufacturing ,Estonia,999213.0,5609.0,26113.0,44745.0,0.48,0.61,0.35,03/2023
246,Large Corporate,Construction ,Latvia,1249052.0,9391.0,17127.0,25569.0,0.22,0.49,0.53,03/2023
247,Small Corporate,Manufacturing ,Lithuania,23383.0,174.0,584.0,6005.0,0.5,0.34,0.63,03/2023
248,Large Corporate,Manufacturing ,Latvia,1867130.0,16362.0,13465.0,48968.0,0.38,0.67,0.54,03/2023
249,Large Corporate,Manufacturing ,Estonia,1881897.0,14183.0,25685.0,46899.0,0.38,0.64,0.32,03/2023
250,Large Corporate,Transportation and Storage,Estonia,1542769.0,7042.0,21887.0,8335.0,0.35,0.72,0.24,03/2023
251,Large Corporate,"Agriculture, Forestry and Fishing",Latvia,1595337.0,3994.0,14872.0,20668.0,0.39,0.52,0.34,03/2023
252,Large Corporate,Transportation and Storage,Lithuania,1322759.0,5879.0,22642.0,14894.0,0.59,0.34,0.43,03/2023
253,Medium Corporate,Manufacturing ,Estonia,447360.0,3785.0,9536.0,20559.0,0.4,0.64,0.28,03/2023
254,Small Corporate,Manufacturing ,Estonia,25607.0,516.0,748.0,2269.0,0.45,0.74,0.27,03/2023
255,Small Corporate,Construction ,Latvia,105858.0,664.0,1116.0,2812.0,0.47,0.44,0.42,03/2023
256,Small Corporate,Financial and Insurance Activities,Latvia,67623.0,78.0,452.0,374.0,0.42,0.59,0.63,03/2023
257,Small Corporate,Transportation and Storage,Lithuania,12043.0,480.0,2478.0,1436.0,0.66,0.33,0.54,03/2023
258,Medium Corporate,Construction ,Lithuania,275816.0,1684.0,5052.0,8557.0,0.61,0.5,0.45,03/2023
259,Medium Corporate,Construction ,Estonia,200207.0,2803.0,7161.0,7572.0,0.47,0.67,0.24,03/2023
260,Medium Corporate,Transportation and Storage,Estonia,348704.0,3099.0,3966.0,2200.0,0.5,0.69,0.27,03/2023
261,Large Corporate,Financial and Insurance Activities,Lithuania,737543.0,403.0,3623.0,1270.0,0.72,0.39,0.49,03/2023
262,Small Corporate,Financial and Insurance Activities,Latvia,52019.0,44.0,386.0,451.0,0.49,0.59,0.44,03/2023
263,Small Corporate,"Agriculture, Forestry and Fishing",Estonia,107617.0,581.0,462.0,4185.0,0.58,0.62,0.21,03/2023
264,Medium Corporate,Transportation and Storage,Estonia,452116.0,2818.0,4163.0,3172.0,0.48,0.8,0.25,03/2023
265,Large Corporate,Transportation and Storage,Lithuania,1563827.0,6170.0,28809.0,13863.0,0.44,0.43,0.74,03/2023
266,Large Corporate,Financial and Insurance Activities,Latvia,826880.0,716.0,3494.0,2483.0,0.26,0.57,0.44,03/2023
267,Small Corporate,Financial and Insurance Activities,Latvia,30822.0,56.0,736.0,121.0,0.47,0.42,0.51,03/2023
268,Medium Corporate,"Agriculture, Forestry and Fishing",Lithuania,491352.0,1525.0,4897.0,9521.0,0.8,0.39,0.41,03/2023
269,Small Corporate,Transportation and Storage,Estonia,100083.0,726.0,2805.0,1963.0,0.46,0.64,0.46,03/2023
270,Small Corporate,Financial and Insurance Activities,Latvia,88244.0,51.0,609.0,427.0,0.22,0.7,0.41,03/2023
271,Small Corporate,Transportation and Storage,Lithuania,69277.0,944.0,1643.0,514.0,0.68,0.33,0.5,03/2023
272,Large Corporate,Transportation and Storage,Lithuania,907781.0,7109.0,10721.0,9505.0,0.58,0.49,0.49,03/2023
273,Large Corporate,Manufacturing ,Latvia,1319118.0,7607.0,16750.0,56481.0,0.44,0.51,0.65,03/2023
274,Medium Corporate,"Agriculture, Forestry and Fishing",Lithuania,395609.0,1351.0,2395.0,17823.0,0.66,0.39,0.71,03/2023
275,Medium Corporate,"Agriculture, Forestry and Fishing",Estonia,312065.0,1965.0,4408.0,14046.0,0.55,0.74,0.31,03/2023
276,Small Corporate,Construction ,Latvia,67342.0,246.0,1741.0,2408.0,0.29,0.4,0.41,03/2023
277,Large Corporate,Construction ,Lithuania,1727424.0,5347.0,11604.0,29399.0,0.74,0.32,0.71,03/2023
278,Medium Corporate,Manufacturing ,Estonia,265889.0,3707.0,5167.0,27998.0,0.37,0.7,0.25,03/2023
279,Medium Corporate,"Agriculture, Forestry and Fishing",Latvia,418395.0,1575.0,4356.0,18463.0,0.39,0.4,0.55,03/2023
280,Large Corporate,Transportation and Storage,Latvia,1853726.0,14270.0,10184.0,9583.0,0.21,0.5,0.33,03/2023
281,Large Corporate,"Agriculture, Forestry and Fishing",Estonia,719332.0,2389.0,13386.0,29763.0,0.57,0.66,0.37,03/2023
282,Small Corporate,Construction ,Estonia,11857.0,749.0,2138.0,2025.0,0.48,0.62,0.23,03/2023
283,Medium Corporate,Transportation and Storage,Latvia,273475.0,3709.0,5365.0,4379.0,0.46,0.63,0.59,03/2023
284,Medium Corporate,Transportation and Storage,Latvia,414938.0,4598.0,6124.0,2428.0,0.3,0.54,0.4,03/2023
285,Small Corporate,Construction ,Lithuania,141650.0,648.0,2366.0,3061.0,0.52,0.46,0.48,03/2023
286,Small Corporate,Financial and Insurance Activities,Lithuania,90512.0,20.0,560.0,112.0,0.56,0.31,0.45,03/2023
287,Large Corporate,"Agriculture, Forestry and Fishing",Latvia,1821276.0,5298.0,7978.0,35606.0,0.23,0.7,0.49,03/2023
288,Large Corporate,Construction ,Lithuania,633740.0,3580.0,12297.0,12001.0,0.43,0.41,0.64,03/2023
289,Large Corporate,Construction ,Latvia,1959552.0,4665.0,12646.0,26056.0,0.3,0.56,0.58,03/2023
290,Medium Corporate,Transportation and Storage,Estonia,400587.0,4018.0,3939.0,3155.0,0.47,0.61,0.39,03/2023
291,Medium Corporate,Manufacturing ,Latvia,427152.0,2242.0,8453.0,27654.0,0.46,0.59,0.45,03/2023
292,Medium Corporate,Financial and Insurance Activities,Latvia,226015.0,138.0,1370.0,881.0,0.49,0.48,0.43,03/2023
293,Large Corporate,"Agriculture, Forestry and Fishing",Latvia,685865.0,2723.0,8388.0,35186.0,0.23,0.41,0.47,03/2023
294,Small Corporate,Construction ,Lithuania,108866.0,337.0,1464.0,1365.0,0.53,0.44,0.63,03/2023
295,Small Corporate,Manufacturing ,Lithuania,148730.0,498.0,1092.0,5146.0,0.6,0.45,0.47,03/2023
296,Medium Corporate,Construction ,Lithuania,486433.0,1641.0,6444.0,11699.0,0.68,0.36,0.74,03/2023
297,Medium Corporate,"Agriculture, Forestry and Fishing",Latvia,215912.0,1340.0,5726.0,7233.0,0.32,0.56,0.49,03/2023
298,Large Corporate,Construction ,Estonia,877834.0,9145.0,18915.0,25599.0,0.53,0.58,0.41,03/2023
299,Medium Corporate,Financial and Insurance Activities,Estonia,257585.0,225.0,1605.0,940.0,0.44,0.57,0.38,03/2023
300,Small Corporate,Financial and Insurance Activities,Lithuania,11578.0,85.0,593.0,276.0,0.41,0.45,0.53,03/2023
301,Large Corporate,Construction ,Latvia,800780.0,8022.0,11776.0,22751.0,0.24,0.47,0.52,03/2023
302,Large Corporate,Construction ,Latvia,1902229.0,6209.0,11789.0,22468.0,0.42,0.47,0.43,03/2023
303,Large Corporate,Financial and Insurance Activities,Estonia,1894193.0,852.0,3151.0,2224.0,0.5,0.58,0.33,03/2023
304,Small Corporate,Financial and Insurance Activities,Estonia,28155.0,68.0,226.0,114.0,0.53,0.64,0.44,03/2023
305,Small Corporate,Construction ,Estonia,158505.0,170.0,933.0,3805.0,0.58,0.62,0.41,03/2023
306,Small Corporate,Manufacturing ,Estonia,39592.0,533.0,1128.0,7870.0,0.53,0.59,0.2,03/2023
307,Medium Corporate,"Agriculture, Forestry and Fishing",Latvia,348633.0,1238.0,5587.0,11113.0,0.33,0.66,0.41,03/2023
308,Small Corporate,Manufacturing ,Estonia,166858.0,527.0,2389.0,3815.0,0.4,0.79,0.5,03/2023
309,Medium Corporate,"Agriculture, Forestry and Fishing",Estonia,344051.0,1331.0,4300.0,11191.0,0.36,0.64,0.39,03/2023
310,Large Corporate,Construction ,Estonia,578861.0,3600.0,18461.0,14894.0,0.37,0.76,0.43,03/2023
311,Large Corporate,Manufacturing ,Estonia,1627947.0,18081.0,10457.0,48308.0,0.53,0.75,0.25,03/2023
312,Medium Corporate,Financial and Insurance Activities,Lithuania,257713.0,160.0,1121.0,684.0,0.51,0.35,0.67,03/2023
313,Large Corporate,Transportation and Storage,Lithuania,1893043.0,14409.0,20546.0,11584.0,0.56,0.45,0.5,03/2023
314,Large Corporate,Financial and Insurance Activities,Latvia,1778852.0,622.0,5509.0,1623.0,0.38,0.52,0.61,03/2023
315,Medium Corporate,Construction ,Estonia,267628.0,1880.0,4625.0,8289.0,0.39,0.65,0.46,03/2023
316,Small Corporate,"Agriculture, Forestry and Fishing",Lithuania,3153.0,197.0,1735.0,1886.0,0.6,0.46,0.55,03/2023
317,Large Corporate,Transportation and Storage,Estonia,1480658.0,8619.0,18578.0,9158.0,0.6,0.69,0.4,03/2023
318,Large Corporate,Transportation and Storage,Lithuania,1041136.0,6266.0,10040.0,14701.0,0.48,0.37,0.61,03/2023
319,Small Corporate,Financial and Insurance Activities,Estonia,109439.0,67.0,535.0,288.0,0.6,0.67,0.21,03/2023
320,Medium Corporate,Construction ,Estonia,406148.0,2705.0,6930.0,6658.0,0.39,0.71,0.5,03/2023
321,Large Corporate,Transportation and Storage,Latvia,1558213.0,9486.0,24583.0,12700.0,0.41,0.41,0.55,03/2023
322,Small Corporate,"Agriculture, Forestry and Fishing",Latvia,93465.0,468.0,813.0,3989.0,0.32,0.49,0.44,03/2023
323,Large Corporate,Financial and Insurance Activities,Latvia,534698.0,664.0,2791.0,2270.0,0.28,0.41,0.46,03/2023
324,Small Corporate,"Agriculture, Forestry and Fishing",Lithuania,72842.0,302.0,784.0,1926.0,0.8,0.42,0.44,03/2023
325,Medium Corporate,Transportation and Storage,Lithuania,223234.0,4089.0,3193.0,3434.0,0.64,0.49,0.52,03/2023
326,Medium Corporate,Manufacturing ,Estonia,383900.0,2359.0,6205.0,19445.0,0.35,0.68,0.44,03/2023
327,Small Corporate,Financial and Insurance Activities,Lithuania,92329.0,40.0,360.0,185.0,0.67,0.4,0.55,03/2023
